"filename", "language", "TypeScript", "CSS", "TypeScript JSX", "XML", "JSON", "comment", "blank", "total"
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\warranty_providers\types\types.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 2, 19
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\hooks\useDebounce.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 5, 18
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\i18n.ts", "TypeScript", 99, 0, 0, 0, 0, 3, 7, 109
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\layouts\AuthLayout.tsx", "TypeScript JSX", 0, 0, 17, 0, 0, 1, 3, 21
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\layouts\CompanyDashboardLayout.tsx", "TypeScript JSX", 0, 0, 27, 0, 0, 0, 4, 31
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\lib\supabase.ts", "TypeScript", 20, 0, 0, 0, 0, 2, 6, 28
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\locales\ar\common.json", "JSON", 0, 0, 0, 0, 23, 0, 1, 24
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\locales\ar\dashboard.json", "JSON", 0, 0, 0, 0, 60, 0, 1, 61
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\locales\ar\login.json", "JSON", 0, 0, 0, 0, 18, 0, 1, 19
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\locales\ar\notifications.json", "JSON", 0, 0, 0, 0, 89, 0, 1, 90
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\locales\ar\products.json", "JSON", 0, 0, 0, 0, 133, 0, 1, 134
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\locales\ar\profile.json", "JSON", 0, 0, 0, 0, 53, 0, 1, 54
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\locales\ar\records.json", "JSON", 0, 0, 0, 0, 134, 0, 1, 135
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\locales\ar\register.json", "JSON", 0, 0, 0, 0, 113, 0, 0, 113
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\locales\ar\reviews.json", "JSON", 0, 0, 0, 0, 37, 0, 1, 38
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\locales\ar\users.json", "JSON", 0, 0, 0, 0, 68, 0, 1, 69
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\locales\ar\warranty_providers.json", "JSON", 0, 0, 0, 0, 89, 0, 1, 90
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\locales\en\common.json", "JSON", 0, 0, 0, 0, 23, 0, 1, 24
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\locales\en\dashboard.json", "JSON", 0, 0, 0, 0, 60, 0, 1, 61
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\locales\en\login.json", "JSON", 0, 0, 0, 0, 18, 0, 1, 19
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\locales\en\notifications.json", "JSON", 0, 0, 0, 0, 89, 0, 1, 90
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\locales\en\products.json", "JSON", 0, 0, 0, 0, 133, 0, 1, 134
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\locales\en\profile.json", "JSON", 0, 0, 0, 0, 53, 0, 0, 53
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\locales\en\records.json", "JSON", 0, 0, 0, 0, 134, 0, 1, 135
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\locales\en\register.json", "JSON", 0, 0, 0, 0, 115, 0, 1, 116
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\locales\en\reviews.json", "JSON", 0, 0, 0, 0, 37, 0, 1, 38
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\locales\en\users.json", "JSON", 0, 0, 0, 0, 68, 0, 1, 69
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\locales\en\warranty_providers.json", "JSON", 0, 0, 0, 0, 89, 0, 1, 90
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\main.tsx", "TypeScript JSX", 0, 0, 40, 0, 0, 1, 3, 44
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\routes\ProtectedRoute.tsx", "TypeScript JSX", 0, 0, 19, 0, 0, 0, 6, 25
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\routes\index.tsx", "TypeScript JSX", 0, 0, 52, 0, 0, 8, 6, 66
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\services\api.ts", "TypeScript", 41, 0, 0, 0, 0, 4, 5, 50
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\services\supabaseUploadService.ts", "TypeScript", 21, 0, 0, 0, 0, 12, 6, 39
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\styles\index.css", "CSS", 0, 32, 0, 0, 0, 0, 6, 38
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 1, 2
"Total", "-", 3976, 32, 9565, 1, 1636, 186, 848, 16244
